,Unnamed: 0.1,Unnamed: 0,article,qid,total_pageviews,description,category,page_size,revisions_since_2024,incoming_number,outgoing_number
0,0,0,1977_NestlÃ©_boycott,Q1498774,27259,boycott,Low-importance,,0,0,0
1,1,1,2007_tuberculosis_scare,Q4609852,550,international health scare,Low-importance,16565.0,13,41,83
2,2,2,2011_United_States_listeriosis_outbreak,Q4622783,871,disease outbreak in the United States,Low-importance,23708.0,13,228,305
3,3,3,2014_California_Proposition_46,Q119129906,153,,Low-importance,5373.0,5,957,1046
4,4,4,24_Hour_Fitness,Q4631849,1122,US fitness center chain,Low-importance,21019.0,53,88,88
5,5,5,996_working_hour_system,Q62568684,187186,"overtime work schedule in Mainland China, 9AM-9PM, 6 days per week",High-importance,54254.0,87,418,754
6,6,6,A_Letter_to_Liberals,Q119154027,104385,2022 book by Robert F. Kennedy Jr.,Low-importance,4582.0,14,22,64
7,7,7,Abdominal_exercise,Q3543774,190,exercise strengthening the abdominal muscles,Unknown-importance,19977.0,18,111,157
8,8,8,Acadia_Healthcare,Q28407181,5202,multinational behavioral healthcare provider,Low-importance,18413.0,76,60,77
9,9,9,Activity_tracker,Q16001686,146,device or application for monitoring/tracking fitness-related metrics,Low-importance,76.0,1,113,5
10,10,10,Acute_alcohol_poisoning,Q205972,3590,negative effect(s) induced by the ingestion of ethanol (alcohol),Mid-importance,54.0,0,6,7
11,11,11,Adrianne_Ho,Q42301576,1799,actress,Unknown-importance,9761.0,13,8,69
12,12,12,AdvoCare,Q4686868,98,American health and wellness company,Low-importance,29685.0,22,89,131
13,13,13,Aerobic_exercise,Q1152037,57567,physical exercise of low to high intensity that depends primarily on the aerobic energy-generating process,Mid-importance,33424.0,37,321,279
14,14,14,Aerobics,Q215641,20936,form of physical exercise that combines rhythmic aerobic exercise with stretching and strength training routines,Unknown-importance,10832.0,18,369,137
15,15,15,AerolÃ­neas_Argentinas_Flight_386,Q4688296,2327,Cholera outbreak,Low-importance,,0,0,0
16,16,16,Aetna,Q26049,120214,American managed health care company,Low-importance,73747.0,56,364,431
17,17,17,Affordable_Care_Act,Q1414593,678110,U.S. federal statute also known as Obamacare,Mid-importance,391358.0,127,1709,1628
18,18,18,Age_and_health_concerns_about_Donald_Trump,Q129155144,170069,American political controversy,High-importance,95913.0,688,482,808
19,19,19,Age_and_health_concerns_about_Joe_Biden,Q123080564,84601,American political controversy,Low-importance,119782.0,930,390,770
20,20,20,Ageing,Q332154,88738,biological processes in a human body coupled to increasing age,High-importance,98923.0,226,899,774
21,21,21,Agriculture_in_India,Q3351245,3829,history of agriculture in India,Mid-importance,133472.0,130,700,1186
22,22,22,Air_pollutants,Q131123,738,presence of dangerous substances in the atmosphere,High-importance,89.0,1,49,14
23,23,23,Air_pollution,Q131123,177584,presence of dangerous substances in the atmosphere,High-importance,171380.0,935,2930,1702
24,24,24,Alan_Smith_(physiotherapist),Q4707786,689,physiotherapist (20th century),Low-importance,4319.0,3,4,40
25,25,25,Alcohol_(chemistry),Q156,68048,any organic compound in which the hydroxyl functional group (–OH) is bound to a saturated carbon atom,Mid-importance,36321.0,113,4017,1182
26,26,26,Alcohol_intoxication,Q205972,246059,negative effect(s) induced by the ingestion of ethanol (alcohol),Mid-importance,52162.0,89,1130,692
27,27,27,Alcoholic_beverage,Q154,304104,"drink containing alcohols, typically ethanol",Mid-importance,87130.0,527,2691,1471
28,28,28,Alex_Azar,Q4716651,69385,American politician,Low-importance,76683.0,46,470,740
29,29,29,Alison_Beam,Q124692782,936,American lawyer and lobbyist,Low-importance,4652.0,9,36,100
30,30,30,Allied_health_professions,Q349843,24242,classification of health professions,Low-importance,23464.0,76,927,368
31,31,31,Ally_Love_(fitness_instructor),Q96742379,41692,US fitness and lifestyle coach,Low-importance,6985.0,15,4,36
32,32,32,Ally_Love_(sports_host),Q96742379,13534,US fitness and lifestyle coach,Low-importance,91.0,0,6,5
33,33,33,American_Health_Care_Act_of_2017,Q28908528,38162,legislative bill dealing with the repeal and replacement of the Affordable Care Act,Low-importance,160887.0,26,218,626
34,34,34,American_health_care_system,Q1358017,230,health care system in the United States of America,Mid-importance,45.0,0,3,1
35,35,35,American_health_insurance,Q5691099,3597,overview about the health insurance in the United States,High-importance,51.0,1,3,1
36,36,36,American_health_insurance_system,Q5691099,5857,overview about the health insurance in the United States,High-importance,51.0,1,0,1
37,37,37,American_healthcare_system,Q1358017,808,health care system in the United States of America,Mid-importance,45.0,0,6,1
38,38,38,An_apple_a_day_keeps_the_doctor_away,Q482536,1651,English proverb,Low-importance,4970.0,27,6,33
39,39,39,Anaerobic_exercise,Q483866,39932,physical exercise intense enough to cause lactate formation,High-importance,10921.0,17,116,136
40,40,40,Anal_hygiene,Q484807,29740,hygienic practice that a person performs on the anal area of themselves after defecation,Low-importance,26750.0,35,168,306
41,41,41,Anaphrodisiac,Q486061,28656,substance that quells or blunts the libido,Low-importance,9989.0,12,38,80
42,42,42,Andrea_Baccarelli,Q41470166,413,Italian American epigeneticist and clinical endocrinologist,Low-importance,26778.0,88,247,142
43,43,43,Andrew_Marks,Q26709623,391,American cardiologist and molecular biologist,Unknown-importance,1608.0,0,8,16
44,44,44,Animal-assisted_therapy,Q606591,94,alternative therapy that involves animals as a form of treatment,Low-importance,80518.0,86,131,328
45,45,45,Anna_Kaiser,Q36750100,1135,American fitness professional,Low-importance,5787.0,4,4,32
46,46,46,AnnÃ­e_Mist_ÃÃ³risdÃ³ttir,Q16154216,3853,Icelandic CrossFit athlete,Low-importance,,0,0,0
47,47,47,Anosmia_Awareness_Day,Q25304277,101,Day to spread awareness about individuals who lose sense of smell,Unknown-importance,4336.0,3,3,26
48,48,48,Anthropometry,Q6656244,15256,human physiometrics,Low-importance,36198.0,34,405,407
49,49,49,Antiseptic,Q274493,36236,"antimicrobial substance used to destroy germs causing disease, on skin or other tissue of a living being",Mid-importance,18315.0,14,728,485
50,50,50,Anytime_Fitness,Q4778364,7476,"health club retail chain in the United States and elsewhere, owned by Self Esteem Brands",Low-importance,18642.0,26,41,83
51,51,51,Apollo_Hospitals,Q4780321,331,chain of Indian private hospitals,Mid-importance,34943.0,83,1567,414
52,52,52,Aquafresh,Q17006249,111,Wikimedia list article,Mid-importance,2411.0,25,127,20
53,53,53,Aquaphor,Q4782724,8919,brand of skin care ointments,Low-importance,13325.0,16,5,71
54,54,54,Arm_&_Hammer,Q4792455,95786,brand of baking soda products by Church & Dwight,Low-importance,6788.0,15,47,34
55,55,55,Army_Combat_Fitness_Test,Q67935434,290,Physical fitness test for the United States Army,Unknown-importance,9961.0,15,16,67
56,56,56,Artistic_gymnastics_in_the_United_States,Q19872602,968,,Low-importance,34800.0,9,35,174
57,57,57,Asana,Q466797,109146,postures in hatha yoga and modern yoga practice,Mid-importance,92198.0,50,1376,1263
58,58,58,Ascension_(healthcare_system),Q96372437,51959,faith-based healthcare organization and subsidiary of Ascension,Low-importance,43664.0,68,42,239
59,59,59,Athletic_training,Q4813769,129,healthcare profession,Unknown-importance,21553.0,17,220,290
60,60,60,Average_human_height_by_country,Q16128414,1345672,Wikimedia list article,Low-importance,167046.0,523,18,728
61,61,61,Aversion_to_happiness,Q18209757,343,People wanting to deliberately avoid positive emotions and / or happiness,Low-importance,10679.0,15,7,293
62,62,62,Awareness_ribbon,Q153524,492,symbols meant to show support or raise consciousness for a cause,Mid-importance,10526.0,26,184,268
63,63,63,Ayushman_Bharat_Yojana,Q55604588,352,health programme in India,Mid-importance,44639.0,76,376,301
64,64,64,Aziz_Shavershian,Q2618609,188893,Russian-born Australian bodybuilder and Internet celebrity and peruvian,Mid-importance,65.0,0,22,6
65,65,65,B._K._S._Iyengar,Q557185,19998,Indian yoga teacher and scholar (1918–2014),Mid-importance,29443.0,39,1290,1404
66,66,66,BP-5_Compact_Food,Q796874,235,compact dry emergency ration made with wheat flour,Low-importance,4551.0,12,8,29
67,67,67,Baby2Baby,Q65068378,457,American nonprofit organization,Low-importance,10531.0,34,7,39
68,68,68,Bain_de_Soleil,Q4848521,2839,discontinued brand of sunscreen,Mid-importance,5979.0,6,5,71
69,69,69,Bally_Manufacturing,Q4851974,7444,former American corporation,Low-importance,23422.0,19,153,105
70,70,70,Bally_Total_Fitness,Q4851976,5446,American fitness club chain originally part of Bally Manufacturing,Low-importance,21437.0,3,45,99
71,71,71,Banana_equivalent_dose,Q2630196,102262,informal measurement of ionizing radiation exposure; approximately 0.1 microsievert,Low-importance,15494.0,27,118,197
72,72,72,Barbara_Bush_(born_1981),Q153730,731333,American health care activist; daughter of George W. Bush (born 1981),Low-importance,21196.0,104,525,422
73,73,73,Barbell,Q1043897,3890,exercise equipment used in weight training,Mid-importance,24830.0,29,125,75
74,74,74,Barefoot,Q808132,10444,common term for the state of not wearing any footwear,Low-importance,92605.0,99,222,640
75,75,75,Barre_(exercise),Q30314274,68694,form of physical exercise,Unknown-importance,8554.0,19,12,58
76,76,76,Bath_&_Body_Works,Q810773,48930,"American retailer under the L Brands (formerly Limited Brands) umbrella, along with Victoria's Secret",Unknown-importance,7821.0,18,318,96
77,77,77,Bath_salts,Q798972,500,"water-soluble, usually inorganic, solid products designed to be added to water during bathing",Low-importance,9774.0,26,38,79
78,78,78,Bausch_&_Lomb,Q811857,29107,American company,Low-importance,30403.0,30,504,487
79,79,79,Baylor_Scott_&_White_Health,Q41568258,333,"healthcare organization in Dallas, United States",Low-importance,6928.0,81,35,40
80,80,80,Beiersdorf,Q201691,317,German personal care company,Low-importance,16648.0,38,113,158
81,81,81,Bench_press,Q14093,45684,exercise of the upper body,Low-importance,23931.0,57,606,155
82,82,82,Benefits_of_physical_activity,Q97358163,364,,Low-importance,28567.0,50,6,150
83,83,83,Best_practice,Q830382,6457,method or technique that has been generally accepted as superior to alternatives either because it produces results that are better or because it has become a standard way of doing things,Mid-importance,29861.0,11,421,107
84,84,84,Better_Access_Scheme,Q65075797,176,mental healthcare scheme run by the Australian government,Low-importance,20576.0,4,3,80
85,85,85,Bicep_curl,Q3073715,106,bicep exercise,Low-importance,14487.0,49,79,134
86,86,86,Bidet,Q371213,288176,plumbing fixture or type of sink intended for washing the genitalia and anus of the human body,Unknown-importance,28031.0,91,324,529
87,87,87,Billy_Blanks,Q863030,109541,American fitness guru,Low-importance,21424.0,41,73,147
88,88,88,Billy_Blanks_Jr.,Q107987204,16281,American fitness personality,Low-importance,19008.0,3,3,88
89,89,89,Binaca_(Indian_brand),Q4913816,98,toothpaste brand in India,Low-importance,4774.0,4,2,33
90,90,90,Black_spot_disease_(fish),Q25221973,209,fish disease,Unknown-importance,3589.0,5,7,19
91,91,91,Bliss_point_(food),Q25203169,252,term for amount of ingredients to optimize food taste,Mid-importance,5934.0,13,7,52
92,92,92,Bloating,Q4927059,23778,"abnormal general swelling, or increase in diameter of the abdominal area",Mid-importance,26196.0,22,251,274
93,93,93,Blue_Cross_Blue_Shield,Q4929017,3315,federation of 36 separate United States health insurance organizations and companies,Low-importance,48.0,0,57,1
94,94,94,Blue_Cross_Blue_Shield_Association,Q4929017,210760,federation of 36 separate United States health insurance organizations and companies,Low-importance,53246.0,76,378,295
95,95,95,Blue_Zone,Q3299670,87700,Disputed scientific concept of regions of the world where people are claimed to live longer than average,Mid-importance,70.0,0,29,5
96,96,96,Blue_Zones,Q3299670,4364,Disputed scientific concept of regions of the world where people are claimed to live longer than average,Mid-importance,23.0,0,3,1
